eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Blackfoot,Kainai,BLACKFOOT_Kainan,51,-115,0,0,1,1,3,1,4,4,4,2,1,NA,1,North America
Blackfoot,Piegan,BLACKFOOT_Piegan,49,-115,0,0,1,1,3,1,4,4,4,2,1,NA,1,North America
Bororo,Bororo,BORORO,-16,-55,0,0,1,1,2,NA,1,1,6,1,2,1,3,South America
Botocudo,Aimoré,KRENAK,-18,-42,0,0,1,1,3,1,1,1,6,1,NA,NA,1,South America
British (1485-1603),NA,ENGLISH,52.3555,-1.1743,1,1,2,2,1,7,3,3,7,5,NA,NA,3,Europe
Burmans,Burmese,BURMESE,20,95,1,1,1,1,1,5,3,3,7,5,NA,NA,4,Asia
Burusho,Burusho,BURUSHASKI,37,75,0,0,1,1,2,7,2,2,3,5,NA,NA,2,Asia
Cajuns,NA,FRENCH,30.9843,-91.9623,3,3,2,2,NA,7,NA,NA,NA,NA,NA,NA,3,North America
Cambodians,Khmer,KHMER,12,105,2,2,1,1,2,7,2,2,1,5,0,0,4,Asia
Canela,Canela,APANIEKRA,-7,-45,0,0,2,2,1,1,2,2,2,1,0,0,1,South America
Cayua,Cayua,MBYA,-26,-54,0,0,2,2,1,1,1,1,6,1,2,1,1,South America
Central Thai,Thai,THAI,15,100,2,2,1,1,2,5,2,2,3,2,NA,NA,4,Asia
Chachi,Chachi,CAYAPA,1,-79,0,0,2,2,1,5,1,1,6,1,2,1,1,South America
Chagga,Chagga,MOCHI,-3,37,0,0,1,1,5,7,2,2,1,4,2,2,1,Africa
Cherokee,Cherokee,CHEROKEE,36,-83,0,0,1,1,2,3,1,1,6,1,2,NA,1,North America
Chinese Americans,NA,MANDARIN,36.7783,-119.4179,1,1,1,2,1,NA,4,4,4,5,2,3,4,North America
Chinookans of the Lower Columbia River,Lower Chinook,LOWER_CHINOOK,45.99,-123.77,0,0,1,1,6,1,2,2,1,4,2,NA,1,North America
Chipewyan,Dene,CHIPEWYAN,60,-105,0,0,1,1,2,1,1,1,6,1,2,3,1,North America
Choroti,Choroti,CHOROTE_IYOWUJWA,-22,-62,0,0,2,2,1,1,2,2,2,1,2,1,1,South America
Chukchee,Chukchi,CHUKCHEE,66,177,0,0,1,1,5,1,2,2,2,2,2,1,1,Asia
Comanche,Comanche,COMANCHE,33,-100,0,0,1,1,3,1,1,1,6,1,2,3,1,North America
Copper Eskimo,Copper Inuit,KANGIRYUARMIUTUN,69,-110,0,0,2,2,1,1,2,2,2,1,2,3,1,North America
Creek,Muscogee,CREEK,33,-84,0,0,1,1,2,3,2,2,3,1,2,1,1,North America
Croats,NA,CROATIAN,45.1,15.2,3,3,2,2,1,7,3,3,7,5,NA,NA,3,Europe
Crow,Crow,CROW,45,-108,0,0,1,1,3,1,2,2,3,1,2,NA,1,North America
Cuban Americans,NA,SPANISH,27.9944024,-81.7658,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,North America
Cuna,Guna,KUNA_YALA_SAN_BLAS,9,-78,0,0,1,1,2,5,2,2,2,2,2,1,1,Middle America and the Caribbean
Delaware,Delaware,UNAMI_UNNAMEDINSOURCE,41,-75,0,0,1,1,2,3,1,1,6,1,NA,NA,1,North America
Dogon,Dogon,BANKAN_TEY,15,-3,0,0,1,1,2,6,2,2,2,2,2,2,1,Africa
Early Icelanders,Icelanders,ICELANDIC,64,-20,1,1,2,2,1,7,4,4,7,3,NA,NA,3,Europe
